,newCasesByPublishDate,newDeathsByPublishDate,total_population_UK,cumDeathsByPublishDate,new_total_pop,percentage_new_case,percentage_new_death,MA_percentage_new_death,MA_percentage_new_case
2020/7/14,398,136,66796807,44900.0,66751907.0,5.962376475626382e-06,2.0373949765959497e-06,1.1449654134875878e-06,9.127615586462414e-06
2020/7/15,538,84,66796807,44984.0,66751823.0,8.059704976147243e-06,1.258392598506261e-06,1.0144189866339176e-06,9.142608961528237e-06
2020/7/16,642,67,66796807,45051.0,66751756.0,9.617724513494446e-06,1.0037189134020685e-06,1.0294002304069924e-06,9.30526897313709e-06
2020/7/17,687,113,66796807,45164.0,66751643.0,1.0291881504699442e-05,1.6928422271194133e-06,1.0251201665090234e-06,9.363060670249935e-06
2020/7/18,827,40,66796807,45204.0,66751603.0,1.2389215581834042e-05,5.992365456751653e-07,9.694786239933338e-07,9.463652809639445e-06
2020/7/19,726,28,66796807,45232.0,66751575.0,1.0876147866173945e-05,4.19465757924064e-07,9.587791413660562e-07,9.510743569402457e-06
2020/7/20,557,11,66796807,45243.0,66751564.0,8.344373773774049e-06,1.6479014634024155e-07,9.288181202281171e-07,9.782550222786447e-06
2020/7/21,445,110,66796807,45353.0,66751454.0,6.666521451352955e-06,1.6479041789861236e-06,9.5022116353728e-07,9.955911623692063e-06
2020/7/22,560,79,66796807,45432.0,66751375.0,8.389340294488316e-06,1.183496220115316e-06,9.95164813882652e-07,9.827515227310981e-06
2020/7/23,769,53,66796807,45485.0,66751322.0,1.1520371087182363e-05,7.939917654364958e-07,9.652031764663223e-07,9.868188496707242e-06
2020/7/24,768,123,66796807,45608.0,66751199.0,1.1505411311038772e-05,1.8426635302835534e-06,9.566427497037163e-07,1.0142135180379705e-05
2020/7/25,767,61,66796807,45669.0,66751138.0,1.1490440807166463e-05,9.138420980927696e-07,9.759057071639298e-07,1.0433202075062328e-05
2020/7/26,745,14,66796807,45683.0,66751124.0,1.1160860751947787e-05,2.0973429600975708e-07,9.844674825948332e-07,1.0867661307561313e-05
2020/7/27,685,7,66796807,45690.0,66751117.0,1.0262000559481275e-05,1.0486715900199842e-07,9.523659318142145e-07,1.1032464121559512e-05
2020/7/28,581,119,66796807,45809.0,66750998.0,8.703989714131316e-06,1.7827448812076187e-06,9.459472019482538e-07,1.1272172661262557e-05
2020/7/29,763,83,66796807,45892.0,66750915.0,1.1430554921981219e-05,1.24342864813164e-06,9.73770172042496e-07,1.1259342890239985e-05
2020/7/30,846,38,66796807,45930.0,66750877.0,1.2673990785169759e-05,5.692809099721642e-07,9.60929411942529e-07,1.125721345479442e-05
2020/7/31,880,120,66796807,46050.0,66750757.0,1.3183371088960085e-05,1.7977324212218298e-06,9.65209834285514e-07,1.1713077559500244e-05
2020/8/1,761,74,66796807,46124.0,66750683.0,1.140063241000845e-05,1.1086028887524642e-06,9.010065380901331e-07,1.190355994584869e-05
2020/8/2,744,8,66796807,46132.0,66750675.0,1.1145954703828838e-05,1.198489753099875e-07,8.624846315395892e-07,1.2179651153987253e-05
2020/8/3,898,9,66796807,46141.0,66750666.0,1.345304929242204e-05,1.3483011540289351e-07,8.860269737152246e-07,1.240223975885085e-05
2020/8/4,670,89,66796807,46230.0,66750577.0,1.0037366418570435e-05,1.3333218078399533e-06,8.38944737238442e-07,1.2382989287082893e-05
2020/8/5,892,65,66796807,46295.0,66750512.0,1.336319337895116e-05,9.737753022778311e-07,7.98282354672894e-07,1.2376577872098753e-05
2020/8/6,950,49,66796807,46344.0,66750463.0,1.4232111019214953e-05,7.340773052016134e-07,7.982824503464425e-07,1.3057161539701175e-05
2020/8/7,871,98,66796807,46442.0,66750365.0,1.3048617786584387e-05,1.4681567658843513e-06,8.261048099239701e-07,1.2719025329158638e-05
2020/8/8,758,55,66796807,46497.0,66750310.0,1.1355752505119453e-05,8.239662107936277e-07,8.539282391961124e-07,1.3742038127949977e-05
2020/8/9,1062,8,66796807,46505.0,66750302.0,1.5910040377045784e-05,1.19849645024827e-07,8.796112398676325e-07,1.3992450787619807e-05
2020/8/10,740,22,66796807,46527.0,66750280.0,1.1086095818624282e-05,3.2958663244558675e-07,9.24555717916737e-07,1.4375556330986435e-05
